Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S
0,1,0,28.0,0,0,3.357621598945279,0,0
1,3,0,28.0,1,1,2.7878344138303452,0,0
1,2,1,29.0,0,0,2.4423470353692043,0,1
0,3,0,19.0,0,0,2.2146605719425225,0,1
1,3,1,17.0,4,2,2.188856327665703,0,1
0,3,0,26.0,2,0,2.2682524139135403,0,1
0,2,0,32.0,0,0,2.4423470353692043,0,1
0,3,1,16.0,5,2,3.8691155044168695,0,1
0,2,0,21.0,0,0,4.310799125385514,0,1
0,3,0,26.0,1,0,2.737880811060884,0,0
1,3,0,32.0,0,0,4.05171190165724,0,1
0,3,0,25.0,0,0,2.157559320943788,0,1
0,3,0,28.0,0,0,2.1855792552411137,0,1
0,3,0,28.0,0,0,2.2027647577118348,0,1
1,2,0,0.83,0,2,3.4011973816621555,0,1
1,3,1,30.0,0,0,2.600836116795061,0,1
0,3,0,22.0,0,0,2.302585092994046,0,1
1,3,0,29.0,0,0,2.3513752571634776,0,1
1,3,1,28.0,0,0,2.1733302571367834,1,0
0,1,0,28.0,0,0,3.8732821771117156,0,1
1,2,1,17.0,0,0,2.4423470353692043,0,1
1,3,1,33.0,3,0,2.8243506567983707,0,1
0,3,0,16.0,1,3,3.5660053559634015,0,1
0,3,0,28.0,0,0,2.2027647577118348,0,1
1,1,1,23.0,3,2,5.575949103146316,0,1
0,3,0,24.0,0,0,2.2027647577118348,0,1
0,3,0,29.0,0,0,2.2027647577118348,0,1
0,3,0,20.0,0,0,2.180891922715322,0,1
0,1,0,46.0,1,0,4.1299529896894684,0,1
0,3,0,26.0,1,2,3.0715352369694915,0,1
0,3,0,59.0,0,0,2.1102132003465894,0,1
0,3,0,28.0,0,0,2.2027647577118348,0,1
0,1,0,71.0,0,0,3.57386695198272,0,0
1,1,0,23.0,0,1,4.164465907853638,0,0
1,2,1,34.0,0,1,3.1780538303479458,0,1
0,2,0,34.0,1,0,3.295836866004329,0,1
0,3,1,28.0,0,0,2.1855792552411137,0,1
0,3,0,28.0,0,0,2.1855792552411137,0,1
0,1,0,21.0,0,1,4.360387947851531,0,1
0,3,0,33.0,0,0,2.267393053825037,0,1
0,3,0,37.0,2,0,2.188856327665703,0,1
0,3,0,28.0,0,0,2.1855792552411137,0,1
1,3,1,21.0,0,0,2.157559320943788,0,1
1,3,0,28.0,0,0,2.1719067693519296,0,1
0,3,0,38.0,0,0,2.1855792552411137,0,1
1,3,1,28.0,1,0,3.224857896545748,1,0
0,1,0,47.0,0,0,3.970291913552122,0,1
0,3,1,14.5,1,0,2.737880811060884,0,0
0,3,0,22.0,0,0,2.2027647577118348,0,1
0,3,1,20.0,1,0,2.3818582738885534,0,1
0,3,1,17.0,0,0,2.738146075922933,0,0
0,3,0,21.0,0,0,2.188856327665703,0,1
0,3,0,70.5,0,0,2.169053700369523,1,0
0,2,0,29.0,1,0,3.091042453358316,0,1
0,1,0,24.0,0,1,5.515526544247129,0,0
0,3,1,2.0,4,2,3.4742929367327062,0,1
0,2,0,21.0,2,0,4.310799125385514,0,1
0,3,0,28.0,0,0,2.2027647577118348,0,1
0,2,0,32.5,1,0,3.436268471383741,0,0
1,2,1,32.5,0,0,2.6390573296152584,0,1
0,1,0,54.0,0,1,4.360387947851531,0,1
1,3,0,12.0,1,0,2.5048481563289,0,0
0,3,0,28.0,0,0,2.169053700369523,1,0
1,3,0,24.0,0,0,2.0969990034181696,0,1
1,3,1,28.0,1,1,3.1509523813392697,0,0
0,3,0,45.0,0,0,2.076311648670908,0,1
0,3,0,33.0,0,0,2.1855792552411137,0,0
0,3,0,20.0,0,0,2.0856720914304723,0,1
0,3,1,47.0,1,0,2.740840023925201,0,1
1,2,1,29.0,1,0,3.295836866004329,0,1
0,2,0,25.0,0,0,2.6390573296152584,0,1
0,2,0,23.0,0,0,2.775447133088262,0,0
1,1,1,19.0,0,2,3.3062747934011893,0,1
0,1,0,37.0,1,0,3.9908341858524357,0,1
0,3,0,16.0,0,0,2.3240236363515288,0,1
0,1,0,24.0,0,0,4.384523514872469,0,0
0,3,1,28.0,0,2,2.7878344138303452,0,0
1,3,1,22.0,0,0,2.169053700369523,0,1
1,3,1,24.0,1,0,2.8243506567983707,0,1
0,3,0,19.0,0,0,2.0476928433652555,1,0
0,2,0,18.0,0,0,2.5257286443082556,0,1
0,2,0,19.0,1,1,3.6309854756950335,0,1
1,3,0,27.0,0,0,2.174274334826008,0,1
0,3,1,9.0,2,2,3.5660053559634015,0,1
0,2,0,36.5,0,2,3.295836866004329,0,1
0,2,0,42.0,0,0,2.6390573296152584,0,1
0,2,0,51.0,0,0,2.6045398247325453,0,1
1,1,1,22.0,1,0,4.213607983048918,0,1
0,3,0,55.5,0,0,2.2027647577118348,0,1
0,3,0,40.5,0,2,2.740840023925201,0,1
0,3,0,28.0,0,0,2.1177604059819726,0,1
0,1,0,51.0,0,1,4.133231886474144,0,0
1,3,1,16.0,0,0,2.167143305297764,1,0
0,3,0,30.0,0,0,2.2027647577118348,0,1
0,3,0,28.0,0,0,2.2682524139135403,0,1
0,3,0,28.0,8,2,4.256321678298823,0,1
0,3,0,44.0,0,1,2.8390784635086144,0,1
1,2,1,40.0,0,0,2.8183982582710754,0,1
0,3,0,26.0,0,0,2.1719067693519296,0,1
0,3,0,17.0,0,0,2.2682524139135403,0,1
0,3,0,1.0,4,1,3.705920919968788,0,1
1,3,0,9.0,0,2,3.0692150503137943,0,1
1,1,1,28.0,0,1,4.02535169073515,0,1
0,3,1,45.0,1,4,3.3638415951183864,0,1
0,1,0,28.0,0,0,3.2930552230424524,0,1
0,3,0,28.0,0,0,4.05171190165724,0,1
0,1,0,61.0,0,0,3.5409593240373143,0,1
0,3,0,4.0,4,1,3.405355391810819,1,0
1,3,1,1.0,1,1,2.495953738718064,0,1
0,3,0,21.0,0,0,2.188856327665703,0,1
0,1,0,56.0,0,0,3.4561841799918147,0,0
0,3,0,18.0,1,1,2.180891922715322,0,1
0,3,0,28.0,3,1,3.275887339030031,0,1
0,1,1,50.0,0,0,3.391567832686312,0,0
0,2,0,30.0,0,0,2.6390573296152584,0,1
0,3,0,36.0,0,0,0.0,0,1
0,3,1,28.0,8,2,4.256321678298823,0,1
0,2,0,28.0,0,0,2.775708849576025,0,0
0,3,0,9.0,4,2,3.4777725458882283,0,1
1,2,0,1.0,2,1,3.6888794541139363,0,1
1,3,1,4.0,0,2,3.1365805821413706,0,1
0,1,0,28.0,0,0,3.9318256327243257,0,1
1,3,1,28.0,1,0,2.803360380906535,1,0
1,1,0,45.0,0,0,3.3160025355989236,0,1
0,3,0,40.0,1,1,2.803360380906535,1,0
0,3,0,36.0,0,0,2.1855792552411137,0,1
1,2,1,32.0,0,0,2.6390573296152584,0,1
0,2,0,19.0,0,0,2.6390573296152584,0,1
1,3,1,19.0,1,0,2.180891922715322,0,1
1,2,0,3.0,1,1,3.295836866004329,0,1
1,1,1,44.0,0,0,3.357621598945279,0,0
1,1,1,58.0,0,0,4.993969182787072,0,0
0,3,0,28.0,0,0,2.169053700369523,1,0
0,3,0,42.0,0,1,2.2411563979973974,0,1
1,3,1,28.0,0,0,2.169053700369523,1,0
0,2,1,24.0,0,0,2.6390573296152584,0,1
0,3,0,28.0,0,0,2.3513752571634776,0,1
0,3,0,28.0,8,2,4.256321678298823,0,1
0,3,0,34.0,0,0,2.0143428636837015,0,1
0,3,0,45.5,0,0,2.1071782966514356,0,0
1,3,0,18.0,0,0,2.2027647577118348,0,1
0,3,1,2.0,0,1,2.4390808375825834,0,1
0,3,0,32.0,1,0,2.8243506567983707,0,1
1,3,0,26.0,0,0,2.9850504252071306,0,0
1,3,1,16.0,0,0,2.169053700369523,1,0
1,1,0,40.0,0,0,3.4657359027997265,0,0
0,3,0,24.0,0,0,2.0856720914304723,0,1
1,2,1,35.0,0,0,3.091042453358316,0,1
0,3,0,22.0,0,0,2.1102132003465894,0,1
0,2,0,30.0,0,0,2.6390573296152584,0,1
0,3,0,28.0,1,0,2.169053700369523,1,0
1,1,1,31.0,1,0,4.738607824217808,0,0
1,3,1,27.0,0,0,2.188856327665703,0,1
0,2,0,42.0,1,0,3.332204510175204,0,1
1,1,1,32.0,0,0,4.347586575960343,0,0
0,2,0,30.0,0,0,2.4423470353692043,0,1
1,3,0,16.0,0,0,2.2027647577118348,0,1
0,2,0,27.0,0,0,2.6390573296152584,0,1
0,3,0,51.0,0,0,2.2027647577118348,0,1
0,3,0,28.0,0,0,2.1855792552411137,0,1
1,1,0,38.0,1,0,4.51085950651685,0,1
0,3,0,22.0,0,0,2.336986519711378,0,1
1,2,0,19.0,0,0,2.4423470353692043,0,1
0,3,0,20.5,0,0,2.1102132003465894,0,1
0,2,0,18.0,0,0,2.6390573296152584,0,1
0,3,1,28.0,3,1,3.275887339030031,0,1
1,1,1,35.0,1,0,4.436455632600354,0,1
0,3,0,29.0,0,0,2.1719067693519296,0,1
0,2,0,59.0,0,0,2.6741486494265287,0,1
1,3,1,5.0,4,2,3.4777725458882283,0,1
0,2,0,24.0,0,0,2.4423470353692043,0,1
0,3,1,28.0,0,0,2.145931282948669,0,1
0,2,0,44.0,1,0,3.295836866004329,0,1
1,2,1,8.0,0,2,3.305053521109253,0,1
0,2,0,19.0,0,0,2.4423470353692043,0,1
0,2,0,33.0,0,0,2.5858825671280026,0,1
0,3,1,28.0,1,0,2.737880811060884,0,0
1,3,1,28.0,1,0,2.803360380906535,1,0
0,2,0,29.0,0,0,2.4423470353692043,0,1
0,3,0,22.0,0,0,2.094945728215801,0,1
0,3,0,30.0,0,0,2.1071782966514356,0,0
0,1,0,44.0,2,0,4.51085950651685,1,0
0,3,1,25.0,0,0,2.1719067693519296,0,1
1,2,1,24.0,0,2,2.740840023925201,0,1
1,1,0,37.0,1,1,3.9806942251907276,0,1
0,2,0,54.0,1,0,3.295836866004329,0,1
0,3,0,28.0,0,0,2.1102132003465894,0,1
0,3,1,29.0,1,1,2.4390808375825834,0,1
0,1,0,62.0,0,0,3.3160025355989236,0,1
0,3,0,30.0,1,0,2.8390784635086144,0,1
0,3,1,41.0,0,2,3.0545906305603445,0,1
1,3,1,29.0,0,2,2.7878344138303452,0,0
1,1,1,28.0,0,0,4.384523514872469,0,0
1,1,1,30.0,0,0,4.471638793363569,0,1
1,1,1,35.0,0,0,6.240917354759096,0,0
1,2,1,50.0,0,1,3.295836866004329,0,1
0,3,0,28.0,0,0,2.169053700369523,1,0
1,3,0,3.0,4,2,3.4777725458882283,0,1
0,1,0,52.0,1,1,4.390118804571218,0,1
0,1,0,40.0,0,0,0.0,0,1
0,3,1,28.0,0,0,2.169053700369523,1,0
0,2,0,36.0,0,0,2.4423470353692043,0,1
0,3,0,16.0,4,1,3.705920919968788,0,1
1,3,0,25.0,1,0,2.1719067693519296,0,1
1,1,1,58.0,0,1,5.039951348430309,0,1
1,1,1,35.0,0,0,4.91730069488021,0,1
0,1,0,28.0,0,0,3.4657359027997265,0,1
1,3,0,25.0,0,0,0.0,0,1
1,2,1,41.0,0,1,3.0204248861443626,0,1
0,1,0,37.0,0,1,3.4242626545931514,0,0
1,3,1,28.0,0,0,2.169053700369523,1,0
1,1,1,63.0,1,0,4.368919865004903,0,1
0,3,1,45.0,0,0,2.169053700369523,0,1
0,2,0,28.0,0,0,0.0,0,1
0,3,0,7.0,4,1,3.405355391810819,1,0
1,3,1,35.0,1,1,3.056356895370426,0,1
0,3,0,65.0,0,0,2.169053700369523,1,0
0,3,0,28.0,0,0,2.180891922715322,0,1
0,3,0,16.0,0,0,2.3513752571634776,0,1
1,3,0,19.0,0,0,2.2027647577118348,0,1
0,1,0,28.0,0,0,3.295836866004329,0,1
0,3,0,33.0,0,0,2.2682524139135403,0,0
1,3,0,30.0,0,0,2.3513752571634776,0,1
0,3,0,22.0,0,0,2.1855792552411137,0,1
1,2,0,42.0,0,0,2.6390573296152584,0,1
1,3,1,22.0,0,0,2.169053700369523,1,0
1,1,1,26.0,0,0,4.380149874661021,0,1
1,1,1,19.0,1,0,4.5226490762785785,0,0
0,2,0,36.0,0,0,2.630088659632498,0,0
0,3,1,24.0,0,0,2.2874714551839976,0,1
0,3,0,24.0,0,0,2.1855792552411137,0,1
0,1,0,28.0,0,0,3.357621598945279,0,0
0,3,0,23.5,0,0,2.1076888046179385,0,0
0,1,1,2.0,1,2,5.027492411162679,0,1
1,1,0,28.0,0,0,3.449987545831587,0,1
1,1,1,50.0,0,1,5.515526544247129,0,0
1,3,1,28.0,0,0,2.169053700369523,1,0
1,3,0,28.0,2,0,3.188416617383492,1,0
0,3,0,19.0,0,0,0.0,0,1
1,2,1,28.0,0,0,2.5915163848462583,1,0
0,3,0,28.0,0,0,2.2027647577118348,0,1
1,1,0,0.92,1,2,5.027492411162679,0,1
1,1,1,28.0,0,0,4.717456363787216,0,0
1,1,1,17.0,1,0,4.699570861409576,0,0
0,2,0,30.0,1,0,3.2188758248682006,0,0
1,1,1,30.0,0,0,4.0592215752427645,0,0
1,1,1,24.0,0,0,4.432699549165613,0,0
1,1,1,18.0,2,2,5.5735788721243535,0,0
0,2,1,26.0,1,1,3.295836866004329,0,1
0,3,0,28.0,0,0,2.1855792552411137,0,1
0,2,0,43.0,1,1,3.305053521109253,0,1
1,3,1,26.0,0,0,2.180891922715322,0,1
1,2,1,24.0,1,0,3.295836866004329,0,1
0,2,0,54.0,0,0,2.70805020110221,0,1
1,1,1,31.0,0,2,5.11118445372147,0,1
1,1,1,40.0,1,1,4.908971640319756,0,0
0,3,0,22.0,0,0,2.1102132003465894,0,1
0,3,0,27.0,0,0,2.1855792552411137,0,1
1,2,1,30.0,0,0,2.5915163848462583,1,0
1,2,1,22.0,1,1,3.4011973816621555,0,1
0,3,0,28.0,8,2,4.256321678298823,0,1
1,1,1,36.0,0,0,4.91730069488021,0,0
0,3,0,61.0,0,0,1.9792758428991135,0,1
1,2,1,36.0,0,0,2.6390573296152584,0,1
1,3,1,31.0,1,1,3.0692150503137943,0,1
1,1,1,16.0,0,1,4.077184839375167,0,0
1,3,1,28.0,2,0,3.188416617383492,1,0
0,1,0,45.5,0,0,3.3843902633457743,0,1
0,1,0,38.0,0,1,5.039951348430309,0,1
0,3,0,16.0,2,0,2.9444389791664403,0,1
1,1,1,28.0,1,0,4.902678819257608,0,1
0,3,0,28.0,0,0,2.1855792552411137,0,1
0,1,0,29.0,1,0,4.213607983048918,0,1
1,1,1,41.0,0,0,4.908971640319756,0,0
1,3,0,45.0,0,0,2.2027647577118348,0,1
0,1,0,45.0,0,0,3.597312260588446,0,1
1,2,0,2.0,1,1,3.295836866004329,0,1
1,1,1,24.0,3,2,5.575949103146316,0,1
0,2,0,28.0,0,0,2.6390573296152584,0,1
0,2,0,25.0,0,0,2.6390573296152584,0,1
0,2,0,36.0,0,0,2.6390573296152584,0,1
1,2,1,24.0,0,0,2.6390573296152584,0,1
1,2,1,40.0,0,0,2.6390573296152584,0,1
1,3,1,28.0,1,0,2.8390784635086144,0,1
1,3,0,3.0,1,1,2.8273136219290276,0,1
0,3,0,42.0,0,0,2.2682524139135403,0,1
0,3,0,23.0,0,0,2.3248357019288655,0,1
0,1,0,28.0,0,0,3.58351893845611,0,1
0,3,0,15.0,1,1,2.1076888046179385,0,0
0,3,0,25.0,1,0,2.9338568698359038,0,1
0,3,0,28.0,0,0,2.1071782966514356,0,0
0,3,0,28.0,0,0,2.3513752571634776,0,1
1,1,1,22.0,0,1,4.02535169073515,0,1
0,2,1,38.0,0,0,2.6390573296152584,0,1
1,3,1,28.0,0,0,2.1837114628556327,1,0
1,3,1,28.0,0,0,2.1837114628556327,1,0
0,3,0,40.0,1,4,3.3638415951183864,0,1
0,2,0,29.0,1,0,3.357621598945279,0,0
0,3,1,45.0,0,1,2.737880811060884,0,0
0,3,0,35.0,0,0,2.0856720914304723,0,1
0,3,0,28.0,1,0,2.803360380906535,1,0
0,3,0,30.0,0,0,2.1102132003465894,0,1
1,1,1,60.0,1,0,4.334017415487521,0,0
1,3,1,28.0,0,0,2.1076888046179385,0,0
1,3,1,28.0,0,0,2.169053700369523,1,0
1,1,1,24.0,0,0,4.252771798816619,0,0
1,1,0,25.0,1,0,4.0332082470129285,0,0
0,3,0,18.0,1,0,2.0143428636837015,0,1
0,3,0,19.0,0,0,2.2027647577118348,0,1
0,1,0,22.0,0,0,4.91730069488021,0,0
0,3,1,3.0,3,1,3.0944457464900235,0,1
1,1,1,28.0,1,0,4.420896324687287,0,0
1,3,1,22.0,0,0,2.1102132003465894,0,1
0,1,0,27.0,0,2,5.358941988364472,0,0
0,3,0,20.0,0,0,1.6119347926326877,0,0
0,3,0,19.0,0,0,2.1719067693519296,0,1
1,1,1,42.0,0,0,5.4316456135398825,0,0
1,3,1,1.0,0,2,2.817902613071225,0,0
0,3,0,32.0,0,0,2.188856327665703,0,1
1,1,1,35.0,1,0,3.970291913552122,0,1
0,3,0,28.0,0,0,2.1855792552411137,0,1
0,2,0,18.0,0,0,4.310799125385514,0,1
0,3,0,1.0,5,2,3.8691155044168695,0,1
1,2,1,36.0,0,0,2.6390573296152584,0,1
0,3,0,28.0,0,0,2.1666737276227077,1,0
1,2,1,17.0,0,0,2.5649493574615367,0,0
1,1,0,36.0,1,2,4.795790545596741,0,1
1,3,0,21.0,0,0,2.174274334826008,0,1
0,3,0,28.0,2,0,2.188856327665703,0,1
1,1,1,23.0,1,0,4.738607824217808,0,0
1,3,1,24.0,0,2,2.8735646395797834,0,1
0,3,0,22.0,0,0,2.174274334826008,0,1
0,3,1,31.0,0,0,2.180891922715322,0,1
0,2,0,46.0,0,0,3.295836866004329,0,1
0,2,0,23.0,0,0,2.4423470353692043,0,1
1,2,1,28.0,0,0,2.613739521630969,0,1
1,3,0,39.0,0,0,2.188856327665703,0,1
0,3,0,26.0,0,0,2.2027647577118348,0,1
0,3,1,21.0,1,0,2.3818582738885534,0,1
0,3,0,28.0,1,0,2.8243506567983707,0,1
0,3,1,20.0,0,0,2.2682524139135403,0,1
0,2,0,34.0,1,0,3.091042453358316,0,1
0,3,0,51.0,0,0,2.169053700369523,0,1
1,2,0,3.0,1,1,2.9831534913471307,0,1
0,3,0,21.0,0,0,2.1719067693519296,0,1
0,3,1,28.0,3,1,3.275887339030031,0,1
0,3,0,28.0,0,0,2.1855792552411137,0,1
0,3,0,28.0,0,0,2.061570298060867,1,0
1,1,1,33.0,1,0,4.51085950651685,1,0
0,2,0,28.0,0,0,0.0,0,1
1,3,0,44.0,0,0,2.188856327665703,0,1
0,3,1,28.0,0,0,2.2027647577118348,0,1
1,2,1,34.0,1,1,3.5115454388310208,0,1
1,2,1,18.0,0,2,2.6390573296152584,0,1
0,2,0,30.0,0,0,2.6390573296152584,0,1
0,3,1,10.0,0,2,3.224857896545748,0,1
0,3,0,28.0,0,0,2.1855792552411137,0,0
0,3,0,21.0,0,0,2.167143305297764,1,0
0,3,0,29.0,0,0,2.1832383353614797,0,1
0,3,1,28.0,1,1,2.7343675094195836,0,1
0,3,0,18.0,1,1,3.0545906305603445,0,1
0,3,0,28.0,0,0,2.1102132003465894,0,1
1,2,1,28.0,1,0,3.295836866004329,0,1
1,2,1,19.0,0,0,3.295836866004329,0,1
0,3,0,28.0,0,0,2.169053700369523,1,0
1,3,0,32.0,0,0,2.2027647577118348,0,1
1,1,0,28.0,0,0,3.3160025355989236,0,1
1,3,1,28.0,1,0,2.8390784635086144,0,1
1,2,1,42.0,1,0,3.295836866004329,0,1
0,3,0,17.0,0,0,2.094945728215801,0,1
0,1,0,50.0,1,0,4.041295341132285,0,1
1,1,1,14.0,1,2,4.795790545596741,0,1
0,3,1,21.0,2,2,3.5660053559634015,0,1
1,2,1,24.0,2,3,2.9831534913471307,0,1
0,1,0,64.0,1,4,5.575949103146316,0,1
0,2,0,31.0,0,0,2.4423470353692043,0,1
1,2,1,45.0,1,1,3.305053521109253,0,1
0,3,0,20.0,0,0,2.3513752571634776,0,1
0,3,0,25.0,1,0,2.1719067693519296,0,1
1,2,1,28.0,0,0,2.6390573296152584,0,1
1,3,0,28.0,0,0,2.2096470973347766,0,1
1,1,0,4.0,0,2,4.417131919904876,0,1
1,2,1,13.0,0,1,3.0204248861443626,0,1
1,1,0,34.0,0,0,3.3160025355989236,0,1
1,3,1,5.0,2,1,3.0085645861193133,0,0
1,1,0,52.0,0,0,3.449987545831587,0,1
0,2,0,36.0,1,2,3.3586377672433594,0,1
0,3,0,28.0,1,0,3.0429354648621407,0,1
0,1,0,30.0,0,0,3.3586377672433594,0,0
1,1,0,49.0,1,0,4.500966778400217,0,0
0,3,0,28.0,0,0,2.2027647577118348,0,1
1,3,0,29.0,0,0,2.1855792552411137,0,0
0,1,0,65.0,0,0,3.3160025355989236,0,1
1,1,1,28.0,1,0,3.967694202798607,0,1
1,2,1,50.0,0,0,2.4423470353692043,0,1
0,3,0,28.0,0,0,2.169053700369523,1,0
1,1,0,48.0,0,0,3.3160025355989236,0,1
0,3,0,34.0,0,0,2.2027647577118348,0,1
0,1,0,47.0,0,0,3.676300671907076,0,1
0,2,0,48.0,0,0,2.6390573296152584,0,1
0,3,0,28.0,0,0,2.2027647577118348,0,1
0,3,0,38.0,0,0,2.0856720914304723,0,1
0,2,0,28.0,0,0,0.0,0,1
0,1,0,56.0,0,0,3.3160025355989236,0,1
0,3,0,28.0,0,0,2.1661924680884908,1,0
1,3,1,0.75,2,1,3.0085645861193133,0,0
0,3,0,28.0,0,0,2.1102132003465894,0,1
0,3,0,38.0,0,0,2.2682524139135403,0,1
1,2,1,33.0,1,2,3.3586377672433594,0,1
1,2,1,23.0,0,0,2.694066212646058,0,0
0,3,1,22.0,0,0,2.3830123421066602,0,1
0,1,0,28.0,0,0,3.970291913552122,0,1
0,2,0,34.0,1,0,3.091042453358316,0,1
0,3,0,29.0,1,0,2.0851502161468174,0,1
0,3,0,22.0,0,0,2.142510233146819,0,1
1,3,1,2.0,0,1,2.586823743668066,0,1
0,3,0,9.0,5,2,3.8691155044168695,0,1
0,2,0,28.0,0,0,0.0,0,1
0,3,0,50.0,0,0,2.2027647577118348,0,1
1,3,1,63.0,0,0,2.3596740599781727,0,1
1,1,0,25.0,1,0,4.5226490762785785,0,0
0,3,1,28.0,3,1,3.275887339030031,0,1
1,1,1,35.0,1,0,4.51085950651685,0,1
0,1,0,58.0,0,0,3.4242626545931514,0,0
0,3,0,30.0,0,0,2.2027647577118348,0,1
1,3,0,9.0,1,1,2.8273136219290276,0,1
0,3,0,28.0,1,0,3.0429354648621407,0,1
0,3,0,21.0,0,0,2.1102132003465894,0,1
0,1,0,55.0,0,0,3.449987545831587,0,1
0,1,0,71.0,0,0,3.922056501139853,0,0
0,3,0,21.0,0,0,2.2027647577118348,0,1
0,3,0,28.0,0,0,2.738146075922933,0,0
1,1,1,54.0,1,0,4.37281811610993,0,0
0,3,0,28.0,0,0,2.7788192719904172,0,1
0,1,1,25.0,1,2,5.027492411162679,0,1
0,3,0,24.0,0,0,2.174274334826008,0,1
0,3,0,17.0,0,0,2.2682524139135403,0,1
0,3,1,21.0,0,0,2.169053700369523,1,0
0,3,1,28.0,0,0,2.155151800914312,1,0
0,3,1,37.0,0,0,2.3596740599781727,0,1
1,1,1,16.0,0,0,4.471638793363569,0,1
0,1,0,18.0,1,0,4.699570861409576,0,0
1,2,1,33.0,0,2,3.295836866004329,0,1
1,1,0,28.0,0,0,3.3160025355989236,0,1
0,3,0,28.0,0,0,3.1580636854714434,0,1
1,3,0,26.0,0,0,4.05171190165724,0,1
1,3,0,29.0,0,0,2.169053700369523,1,0
0,3,0,28.0,0,0,2.2027647577118348,0,1
1,1,0,36.0,0,0,3.3064287218760624,0,1
1,1,1,54.0,1,0,4.100989104940769,0,0
0,3,0,24.0,0,0,2.139571923732859,0,1
0,1,0,47.0,0,0,3.5559421706858756,0,1
1,2,1,34.0,0,0,2.4423470353692043,0,1
0,3,0,28.0,0,0,3.224857896545748,1,0
1,2,1,36.0,1,0,3.295836866004329,0,1
0,3,0,32.0,0,0,2.1855792552411137,0,1
1,1,1,30.0,0,0,4.548599834499697,0,1
0,3,0,22.0,0,0,2.1855792552411137,0,1
0,3,0,28.0,0,0,2.1071782966514356,0,0
1,1,1,44.0,0,1,4.077184839375167,0,0
0,3,0,28.0,0,0,2.1076888046179385,0,0
0,3,0,40.5,0,0,2.169053700369523,1,0
